specification,outcome,coefficient,estimate,standard_error_player,ci_lower,ci_upper,p_value,n_observations,n_players,n_club_games,fe_max_error,pre_start,weight_method,omitted_dimension,omitted_value
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08543999861914071,0.02712877497165399,0.03226857673000726,0.13861142050827416,0.0016359299109631742,16048,1003,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1237
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.0230002850315028,0.025396947869878266,-0.026776818110699842,0.07277738817370544,0.3651307418094376,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,13
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08235741239665212,0.02748934320944887,0.02847928974747163,0.1362355350458326,0.002735679677623448,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,13
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02106637283650103,0.025498440219663528,-0.028909651655987068,0.07104239732898913,0.40870040143227127,15984,999,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,131
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.07800437908112409,0.027430179385985208,0.024242215395120073,0.13176654276712813,0.004458700352982792,15984,999,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,131
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02671887282643925,0.025303195378830398,-0.02287447880984866,0.07631222446272716,0.29099171496851595,16096,1006,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1420
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08894494984445983,0.027369942889827158,0.03530084752148047,0.1425890521674392,0.0011551424916098618,16096,1006,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1420
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02106592837078589,0.025252642453496666,-0.028428341352534765,0.07056019809410655,0.4041644082104918,16112,1007,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1421
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.0819941435494547,0.027376934000624062,0.028336338901101474,0.1356519481978079,0.002744374071034894,16112,1007,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1421
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02487684886482945,0.0253366882463283,-0.024782147585493318,0.07453584531515223,0.32617333306244056,16048,1003,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,148
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.07873105342893272,0.027487536159681587,0.02485647253221438,0.13260563432565106,0.004180038232241223,16048,1003,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,148
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02043875445768467,0.025290461918009953,-0.02912964005399661,0.07000714896936595,0.4189981453487712,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,15
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08294917317334412,0.027442710863833483,0.029162448242084416,0.13673589810460382,0.002505880612523992,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,15
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.021915832571859216,0.02561417265129831,-0.028287023318476302,0.07211868846219474,0.3922115859086217,16016,1001,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,150
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08142032690585468,0.02773092163358583,0.02706871924592382,0.13577193456578554,0.0033238385523124414,16016,1001,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,150
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02329153609958328,0.02516482288017145,-0.026030610422882274,0.07261368262204884,0.3546750476974847,16016,1001,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1531
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08348551877967526,0.02725982575549708,0.03005724207406362,0.1369137954852869,0.0021943454013222397,16016,1001,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1531
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.021847795067725877,0.025362942433773805,-0.027862658644433443,0.0715582487798852,0.3890143797746948,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,16
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08566702262477732,0.02744231278070116,0.031881077922119826,0.1394529673274348,0.0017980217093640505,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,16
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.01898383594888657,0.025619721087180917,-0.03122989467594938,0.06919756657372253,0.45870237155479954,16048,1003,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,162
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.07875886243351286,0.02777686194219731,0.024317213423264837,0.13320051144376088,0.0045766545598375785,16048,1003,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,162
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02524740255039808,0.025128725335027108,-0.024003994083654254,0.07449879918445042,0.3150303602518709,16096,1006,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,167
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08566875782276169,0.02730322049700105,0.03215542898668384,0.13918208665883955,0.0017029091411653319,16096,1006,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,167
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.022559780243799458,0.025367640709822108,-0.027159881920203962,0.07227944240780287,0.3738347262236772,16080,1005,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,18
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.0815715579878055,0.027370091891362757,0.027927163627182734,0.1352159523484283,0.0028794996098853165,16080,1005,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,18
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02399409424353279,0.025353774417111355,-0.02569839048615847,0.07368657897322406,0.3439590416105589,16080,1005,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,180
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08640182730872537,0.02763307372276089,0.032241998029973865,0.14056165658747688,0.0017674767613460318,16080,1005,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,180
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.023291536099583267,0.02516467757510685,-0.0260303256301889,0.07261339782935544,0.3546722691919948,16192,1012,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,2239
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08348551877967524,0.027259668353604737,0.03005755057610368,0.1369134869832468,0.00219421574616252,16192,1012,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,2239
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.026266120804486162,0.025326546311802263,-0.023372997819432008,0.07590523942840433,0.2996899980920451,16016,1001,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,237
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08375523618441104,0.02747354132619411,0.029908084657297787,0.13760238771152428,0.002299271451333018,16016,1001,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,237
