specification,outcome,coefficient,estimate,standard_error_player,ci_lower_player,ci_upper_player,p_value_player,standard_error_double_cluster,ci_lower_double_cluster,ci_upper_double_cluster,p_value_double_cluster,effect_sd,percent_of_treated_baseline,baseline_weighted_sd,treated_baseline_mean,n_observations,n_players,n_club_games,within_r_squared,fe_iterations,fe_max_error,p_value_holm_acute_family
external_player_league_position_week_fe,played,control_pre_opponent_ppg,0.007489991083327541,0.006881044410600613,-0.005996608137470301,0.02097659030412538,0.27637608819167836,0.006260421635776595,-0.004780209850829914,0.019760192017484995,0.23153909088586078,0.02141536156989278,0.8738802115664835,0.3497485232216437,0.8570958564104885,16240,1015,1568,0.0008884186132652738,11,5.283271042877402e-11,
sensitivity_differential_linear_trend,played,treated_x_acute,0.01004723933584872,0.036484823031028825,-0.061461699787285246,0.08155617845898269,0.7830232811364883,0.04017988549514832,-0.06870388913758528,0.08879836780928273,0.8025436978163034,0.02872703862564004,1.1722422014646632,0.3497485232216437,0.8570958564104885,16240,1015,1568,0.001984918580924644,2,2.6645352591003757e-15,
sensitivity_differential_linear_trend,played,treated_x_consolidated,0.0701000933059668,0.05231944292992771,-0.03244413052789026,0.17264431713982387,0.180294814336861,0.05753631527350663,-0.042669012433248,0.1828691990451816,0.22308621995682376,0.2004299908409985,8.178792696483857,0.3497485232216437,0.8570958564104885,16240,1015,1568,0.001984918580924644,2,2.6645352591003757e-15,
sensitivity_differential_linear_trend,played,treated_x_linear_time,0.0006157608078987427,0.004243289824676996,-0.007700934424433448,0.008932456040230933,0.8846208559073219,0.004727518495187629,-0.008650005178916,0.009881526794713486,0.8963683821735127,0.001760581580807765,0.07184270035764083,0.3497485232216437,0.8570958564104885,16240,1015,1568,0.001984918580924644,2,2.6645352591003757e-15,
primary_player_club_game_fe,started,treated_x_acute,0.009454679961174934,0.028601125924943405,-0.04660249676900897,0.06551185669135884,0.740969157622418,0.03148645180992136,-0.05225763158722691,0.07116699150957678,0.7639653263816784,0.02073361925879654,1.3409389825460838,0.4560072143296278,0.7050790590950701,16240,1015,1568,0.0015550353484793389,2,4.440892098500626e-16,1.0
primary_player_club_game_fe,started,treated_x_consolidated,0.07825717487510675,0.030976388566600083,0.01754456891345229,0.1389697808367612,0.011525485274111125,0.03378602918011536,0.012037774501461318,0.14447657524875218,0.02054416265411918,0.1716138964822123,11.099063837684458,0.4560072143296278,0.7050790590950701,16240,1015,1568,0.0015550353484793389,2,4.440892098500626e-16,
external_player_league_position_week_fe,started,treated_x_acute,-0.008485726312480572,0.031064959513525673,-0.06937192814018579,0.052400475515224657,0.7847296827615027,0.03156072912457302,-0.07034361872246803,0.05337216609750689,0.7880298925744711,-0.018608754523665515,-1.2035141595853849,0.4560072143296278,0.7050790590950701,16240,1015,1568,0.001218007219717654,11,5.283271042877402e-11,
external_player_league_position_week_fe,started,treated_x_consolidated,0.04370285083615621,0.031961365901400945,-0.018940275227296195,0.10634597689960862,0.1715109491882152,0.0327078762117295,-0.020403408549627973,0.1078091102219404,0.18149803161909395,0.0958380689226669,6.198290854396725,0.4560072143296278,0.7050790590950701,16240,1015,1568,0.001218007219717654,11,5.283271042877402e-11,
external_player_league_position_week_fe,started,control_is_home,0.013760662349655343,0.00777607490722556,-0.0014801644095923938,0.02900148910890308,0.07679122217380563,0.006132824779631568,0.0017405466580826794,0.025780778041228004,0.024847055638223203,0.030176413699692824,1.9516481410349062,0.4560072143296278,0.7050790590950701,16240,1015,1568,0.001218007219717654,11,5.283271042877402e-11,
external_player_league_position_week_fe,started,control_days_since_club_game,-0.0005474123435350053,0.0005897381242011586,-0.0017032778272794852,0.0006084531402094746,0.35328851810124684,0.00043586015206190494,-0.00140168254387249,0.00030685785680247956,0.20913926850544806,-0.0012004466735021974,-0.07763843450939795,0.4560072143296278,0.7050790590950701,16240,1015,1568,0.001218007219717654,11,5.283271042877402e-11,
external_player_league_position_week_fe,started,control_pre_opponent_ppg,0.009585955752125175,0.00853549663588333,-0.007143310244368942,0.02631522174861929,0.26140798777265206,0.007554397203161412,-0.0052203906909813035,0.024392302195231655,0.204468179303271,0.021021500210731105,1.3595575742141908,0.4560072143296278,0.7050790590950701,16240,1015,1568,0.001218007219717654,11,5.283271042877402e-11,
sensitivity_differential_linear_trend,started,treated_x_acute,-0.005439759345444707,0.04573439581150458,-0.09507752799069316,0.08419800929980376,0.9053209803892357,0.05061044097133504,-0.1046344008909517,0.0937548822000623,0.9144058532550796,-0.011929108080979923,-0.7715105526501292,0.4560072143296278,0.7050790590950701,16240,1015,1568,0.0015763684929007704,2,2.6645352591003757e-15,
sensitivity_differential_linear_trend,started,treated_x_consolidated,0.054851627393275135,0.06649903799952202,-0.07548409209234848,0.18518734687889876,0.40945764479561775,0.07398821346220325,-0.09016260627310478,0.19986586105965504,0.45847744007848545,0.12028675351970479,7.779500282376016,0.4560072143296278,0.7050790590950701,16240,1015,1568,0.0015763684929007704,2,2.6645352591003757e-15,
sensitivity_differential_linear_trend,started,treated_x_linear_time,0.00212777704380292,0.005322146240164889,-0.00830343790737552,0.012558991994981361,0.689306186759018,0.006093652958743529,-0.009815563289620332,0.014071117377226173,0.7269547586218017,0.004666103905682602,0.30177850502804665,0.4560072143296278,0.7050790590950701,16240,1015,1568,0.0015763684929007704,2,2.6645352591003757e-15,
primary_player_club_game_fe,minutes_played,treated_x_acute,2.0962382489624987,2.2648174644109353,-2.3427224128402595,6.535198910765256,0.35467152187434303,2.4724628346617648,-2.7496998600883695,6.942176358013366,0.3965303813602068,0.06027500719068513,3.3935736815555755,34.7779012672843,61.77081877891058,16240,1015,1568,0.002353409605121204,2,6.394884621840902e-14,1.0
primary_player_club_game_fe,minutes_played,treated_x_consolidated,7.513696690170798,2.4533663416520812,2.705187019649931,12.322206360691666,0.0021941808746950286,2.625062515860746,2.368668701917633,12.658724678423964,0.004205885893722172,0.21604801947146132,12.163828873733626,34.7779012672843,61.77081877891058,16240,1015,1568,0.002353409605121204,2,6.394884621840902e-14,
external_player_league_position_week_fe,minutes_played,treated_x_acute,0.46560749401003354,2.5009394242338883,-4.436143705004726,5.3673586930247925,0.8523090657521029,2.5361153484682646,-4.505087249627013,5.436302237647079,0.8543344660416479,0.013388027369208511,0.7537661038240899,34.7779012672843,61.77081877891058,16240,1015,1568,0.0018081902793736226,12,1.1660006293823244e-11,
external_player_league_position_week_fe,minutes_played,treated_x_consolidated,4.576649404634405,2.5764529565318175,-0.4731055980296981,9.626404407298509,0.07567734414325633,2.591136525113853,-0.5018848636150111,9.65518367288382,0.0773503877585544,0.1315964804621398,7.409080039905407,34.7779012672843,61.77081877891058,16240,1015,1568,0.0018081902793736226,12,1.1660006293823244e-11,
